name,desc,keywords
"Metreo","Provider of pricing optimization software. The company provides pricing optimization software that enables manufacturers and distributors to maximize profits from the sales of their goods and services.","""pricing optimization"" ""profit maximization"" finance"
"Transparency Software","Developer of information retrieval software for business enterprises. The company’s core product Transparency Vision is an information policy management platform that enables business users to monitor, audit, and secure access to business information and data resources.","""information policy"" ""security solution"" ""data resources"" ""business enterprises"""
"BioScan Technologies","Developer of imaging technology for use in interventional vascular applications. The company is the developer of LightWire guidewires, a technology  based on the company\'s optical-ultrasonic platform, and used for the diagnosis and treatment of cardiovascular disease.","ultrasonic cardiovascular optical-ultrasonic"
"BambooTori","Operator of a restaurant chain. The company provides Japanese food and serves all-natural chicken, beef, pork and vegetable skewers.","Kushiyaki YAKITORI teriyaki grill meat ""skewered meats"" char"
"Evomote","Provider of content discovery services. The company develops an online platform that helps in offering content discovery and recommendation services.","""content discovery services"" ""content platform"" ""recommendation services"""
"Xaar","Developer of ink jet technologies.",""
"Sepro Telecom International","Developer and provider of rating and billing software. The company develops rating and billing software for telecommunications and electronic commerce industries.","""billing software"" ""electronic commerce"" rating"
"Foodik.ru","Provider of an online food ordering service in Russia. The company provides convenience to customers and new degree of automation to restaurants.","restaurants ""food joints"" automation"
"Affinity Payments","Provider of payment platform. The company provides electronic payment services to merchants and partners.","""payment platform"" ""electronic payment"" ""online payment"""
"Targanta Therapeutics","Developer of innovative antibiotics to treat serious infections in the hospital and other institutional settings. The company develops antibiotics for the treatment of serious gram-positive bacterial infections, including complicated skin and skin structure infections.","biopharmaceutical ""skin infection"" ""bone infection"" antibiotic"
"Microgon","Manufacturer of biotechnological separation, filtration and OEM medical devices. The company produces hollow-fiber membrane filters for use in research laboratories.","""laboratory products"" filtration ""medical devices"""
"Samba Sensors","Manufacturer of pressure-measuring system based on fiber optics and micromechanics. The company\'s pressure sensors are used for medical applications, such as measurement of respiratory pressure, counter pressure, pressure in the urinary tract, blood pressure and intracranial pressure.","""pressure-measuring system"" ""fiber optics"" micromechanics"
"BlackLocus","Provider of a cloud-based platform for online retailers that provide recommendations on pricing, inventory management and marketing. The company provides platform that recommends actionable items, enables implementation of recommendations.","""pricing tool"" ""online retailer"" ""actionable item"" ""pricing recommendation"""
"Opalis Software","Provider of an  information technology (IT) process automation software products for the enterprises. The company provide software that integrates and automates common IT assets to automate the IT runbook. Opalis allow companies to capture the internal knowledge of their IT staff. Opalis helps to provide native operators to leading systems management monitors, problem resolution packages, backup tools, virtual machines, software distribution and network devices.","""knowledge process automation"" ""knowledge worker management"" ""knowledge sharing"""
"GoInstant","Developer of shared web-browsing tool. The company\'s unique co-browsing tool allows two or more people to surf the web at the same time with no downloads, plugins or installs. It helps to share a web experience in real- time.","""shared web browsing"" plugin ""web experience"" ""browsing tool"" ""web browsing"""
"Signature Labs","Developer of a mobile shopping assistant and shopping application. The company provides a way to make connections and share discoveries of new products and services.","""shopping assistant"" ""shopping application"" ""mobile shopping"" ""product sharing"" ""service sharing"""
"Pulsent","Developer of video compression algorithms, technologies and products. The company offers algorithms, software and hardware technologies for storage and delivery of digital video.","""online video"" ""hardware technologies"" ""digital video"" ""technology services"" ""online portal"""
"Ixi Mobile","Developer of data centric wireless mobile devices and services for mass market users. The company provides end-to-end software and hardware reference designs which it claims creates a new category of mobile devices.","""communication server"" ""wireless communication service"" ""mobile device"" ""data centric"""
"Loomia","Provider of content recommendation services.","""content recommendation"" ""recommendation service"""
"Envolure","Developer and provider of a biological, enzymatic and chemical catalog for the characterization of waste water and organic waste. The company offers a range of biological, enzymatic and chemical ecoanalyses on environmental matrices.","enzymatic ""chemical catalog"" ""organic waste"""
"SCT Spinal Cord Therapeutics","Developer of therapy for acute and chronic spinal cord injuries. The company focuses on the treatment of nervous system injuries. The company provides therapy that allows the regeneration of injured nerves following their natural nerve tract, thus enabling the recovery of sensory and motor function.","""chronic disease"" ""spinal diseases"" nerves ""sensory function"""
"Rivio","Developer and deliver small business Web services. The company\'s Integrated Business Services Network (iBSN) provides an infrastructure for companies to operate and deliver customized business Web services to their small business customers.","""web service"" seamless email"
"HAPTO Biotech","Developer of fibrin derived platform technologies. The company offers Fibrin Micro Beads for stem cell recovery and Haptides for cell attachment to fibrin. It\'s technology is used in the field of tissue engineering for the repair and replacement of skin and bone.","fibrin ""tissue engineering"" ""synthetic peptide"" ""skin regeneration"""
"BioMonde (Acquired by ZooBiotic)","Manufacturer of larval therapy products used to treat wounds like diabetic ulcers and orthopaedic wounds. The company produces and distributes fly maggots for wound treatment at clinics.","""larval debridement therapy"" ""medical supply"" ""therapeutic device"""
"ClimateMinder","Provider of wireless climate monitoring and control systems for agriculture. The company offers products that growers can use to increase quality, improve yield per acre, reduce water and nutrient costs, operate remotely, increase profits and achieve sustainability.","agriculture ""climate monitoring"""
"KinetX IP (software assets and a specialized business unit)","Provider of space systems engineering, software engineering, hardware engineering, project management, space navigation, flight dynamics and satellite operations services. The company is an innovative engineering, technology, software development and business consulting firm providing complete systems solutions.","""software engineering"""
"Umbria","Provider of internet related research and marketing advice. The company collects the unsolicited opinions and perceptions of the online community like blogs, message boards, chats and turns it into actionable market research about companies, products, people and topics of interest.","""market research"" ""marketing data"" ""internet research"""
"SocialCast (Waltham)","Provider of end-to-end social media services. The company provides a cloud-based platform for small and medium-sized businesses (SMBs) to engage, manage, curate and measure the return on investment (ROI) of their social marketing activities.","""social media marketing"" ""calculate ROI"" ""social marketing activity"""
"Zattikka","Developer of online and mobile social network games and mobile applications. The company develops and operates internet games development and mobile publishing business.","""social network game"" ""direct consumer website"" ""browser based game"" ""gaming application"""
"Intervaluenet","Provider of Internet-consulting services. The company offers Internet stategies for Web-based businesses.","""consulting company"" ""strategic consultancy"" ""internet consulting"" ""digital solution"" ""Internet strategy"""
"LZ Therapeutics","Developer of therapeutics for patients at different stages of Parkinson’s disease. The company provides neuroprotective/neurorestoritive therapies for early-stage Parkinson’s disease (PD), a combination therapy with levodopa-enhancing and anti-dyskinesia effects designed for mid-stage PD patients and gene therapies for advanced PD patients.","""parkinson therapeutic"" ""neurorestoritive therapy"" ""anti dyskinesia effect"" ""gene therapy"""
"Savene (European Assets)","Provider of detoxifying agents. The company specializes in providing dexrazoxane to prevent the effect of anthracyclines.","dexrazoxane anthracyclines chemotherapy ""catalytic cycle"""
"Preclick","Provider of retail photo software for digital photographers. The company\'s solutions enables users to organize, preserve, print, and share their photo collections.","""digital photo"" print software ""photo sharing"" ""online photo gallery"""
"MMIC Solutions","Developer of technology for systems operating in the millimeter wave bands (50 GHz to 250 GHz). The company develops, manufactures and supplies products for use in security, detection and high-bandwidth communication equipment. The company\'s products include mechanical interfaces, direct detection receivers and ""conncetorized"" modules.","""advanced materials"" ""wave applications"" down-convertor bandwidth ""wave bands"""
"Kingdee International Software Group Co.","Provider of enterprise management software and Internet service in Asia. The company is a provider of middleware, online management and life-cycle e-commerce software, as well as a provider of Internet service in China and the Asia-Pacific region.","""enterprise management"" ERP ""Enterprise Information System"""
"Actions Semiconductor","A fabless semiconductor company which designs, develops and markets integrated platform solutions, including SoCs, firmware, software development tools and reference designs, for manufacturers of portable media players.",""
"Ion Surgical Technologies","Developer of medical alternatives to surgical implants. The company is focused on providing surgeons with reproducible alternatives to implants for soft-tissue fixation, through a product line that uses the patient\'s own bone and sutures to maximize healing surfaces, minimize surgical time and provide post-oeprative MRI compatibility.","""soft tissue fixation"" injury ""transosseous method"" ""minimize surgical time"""
"Piano media","Provider of payment services to the media publishing industry. The company enables publishers to monetize web content without fear of losing either website advertising revenue or audience share.","""payment service"" ""web content"" ""paid content"""
"Bedo Technologies","Provider of LBS application and service. The company\'s product enables users to take real-time location-based information and display it in context of a consumer’s online social network.","""location based services"" ""LBS application software"" ""online social network"""
"Mountain Network Solutions","Provider of mainframe storage services. The company also provides hosting, storage and disaster recovery services.","""disaster recovery"" ""mainframe storage"" hosting"
"Twisted Pair Solutions","Provider of unified communications software services. The company offers WAVE, a Voice-over-IP software application that enables users to create interoperable communications from various combinations of systems and users, using any industry standard PCs and off the shelf network hardware and WAVE SDK, a software toolkit for developers to build interoperable communications solutions that meet specific customer needs. Its products are used in various applications, such as collaboration, communications interoperability, extending radio reach, interoperability as a service, radio integration with IP telephony and unified communications, resilient tactical networks, smartphone push-to-talk and software dispatch in defense, federal government and state and local government sectors, as well as enterprises, including air transportation, utilities and hospitality sectors in the United States and internationally.","""unified communication solution"" ""software application"" ""unified communication"""
"HL-Planartechnik","Manufacturer of thin-film metallization processes for the production of sensors. The company manufactures and sells components and subsystems using micro structures on ceramic, glass and silicon chips.","""photographic equipment"" ""magnetic fields"" ""thin-film metallization"" circuit"
"Elastix","Provider of technology that lowers the power used by digital integrated circuits. The company offers elastic clocks that helps in reducing on-chip power consumption.","""elastic clocks"" ""elastic voltage scaling"" on-chip ""power consumption"""
"Buysight","Provider of search engine marketing platform for display advertising. The company provides services for both brand and performance advertisers and has developed an online display advertising network called ShopperConnecta for online e-commerce shopping market.","""brand advertising"" ""marketing platform"" ""display advertising"""
"CellTran","Developer of cell therapy products to aid in wound healing. The company using autologous skin cells treats difficult to heal wounds. Its products Myskin and Myskin Clinic help to heal wounds and provide dedicated treatment for chronic, complex or non-healing wounds.","""Skin treatment"" ""healing wounds"" ""cultured human keratinocytes"" ""integrated wound care dressing"" ""wound healing"""
"Biocistronix","Provider of drug discovery and medical research and development services. The company also engages in development of latest diagnostic techniques for various ailments.","""medicine discovery"" ""medical research"" ""diagnostic techniques"""
"Advasense Technologies","Developer of image sensor technologies. The company offers technologies used in improving the image quality of cameras used in mobile applications.","""CMOS image sensor"" CMOS ""image sensor"""
"Glancee","Provider of is an application for iPhone, Android and Facebook.","""application provider"" ""friend finder"" ""social discovery tool"""
"EA Technology Ventures","Provider of power asset management services. The company invests and works with new ventures across a wide range of traditional and emerging energy related sectors including energy efficiency, smart grid and new energy distribution and storage technologies.","""investment vehicle"" ""smart grid"" energy"
"SwitchGear Genomics","Provider of products for studying gene regulation in the human genome. The company develops new insights into gene regulatory networks, allowing researchers to screen entire pathways in living cells.","""human genome"" ""gene regulation"" ""gene regulatory networks"" ""living cells"""
"Frog AGV Systems","Developer of navigation hardware and software products. The company develops, produces and sells guidance and control systems for freely moving, electronically controlled vehicles.","""navigation software"" ""navigation hardware"" ""guidance and control  systems"" ""electronically controlled vehicles"" ""automated guided vehicle systems"" AGV navigation"
"Pomarfin","Operator of a Finnish family business that manufactures shoes.","shoe ""multilayer sole"" ""microporous membrane """
"Slide","Provider of online application for social networking websites. The company provides slideshow, image and video personalization, guestbook and virtual gift applications for social networks including Facebook, MySpace, Bebo, Friendster, Hi5 and Orkut.","""social networking application"" ""online application"" ""video personalization"" slideshow ""social entertainment"""
"Newton Propulsion Technology","Developer of hybrid propulsion technology based engine. The company\'s product is a hybrid of the gas turbine and of the volumetric internal combustion engine, which can be used in all types of heavy vehicles, sailing craft, aircraft and power stations.","""hybrid propulsion technology"" ""hybrid engine"" ""industrial supply"" ""volumetric engine"" ""heavy vehicles engine"""
"Waywire","Provider of a social artery for video news. The company\'s network provides original, syndicated and community created video content, allowing people to develop informed opinions on topics and then engage in positive debates and discussions.","""social artery"" ""video news"" ""social video"""
"Zebido.com","Operator of an auction website.","auction"
"LCL Logistix","Provider of logistics and supply-chain solutions. The company provides integrated, end-to-end shipping logistics services to customers around the globe. They utilize business-owned assets like Container Freight Stations, trucks, other equipment and warehouses to accomplish this.","""shipping logistics"" ""supply chain logistics"" ""integrated shipping"" ""end-to-end logistics"""
"CrystalVoice","Provider of quality-of service-software for VoIP solutions.","""clear voice communication"" ""clear voice"" ""voice communication"""
"FYIQuest","Developer of an internet-based system that provides customized content to physicians\' offices. The company provides systems that puts portable touchscreen computers in doctors\' waiting rooms through which idle patients can access information and see advertisements.","""prescription advisory"" ""health information"" treatment clinics ""healthcare advertising"""
"Efficere Technologies","Developer of software for electronic systems. The company manufactures and markets signal integrity devices. The company\'s products include interconnect hardware or bridges that ensure that electrical signals sent between faster and faster chips retain their strength to run the latest gadgets, including digital television sets, at top speeds. The company also provides cables, connectors, circuit boards and adapter cards.","""signal integrity devices"" ""application software"" ""interconnect hardware"""
"Tutum","Developer of a cloud computing service platform. The company provides a cloud service focused on deploying and managing containers in any environment, whether the cloud or on-premises.","""cloud computing"" ""automate management"" ""docker container"""
"Danyl","Manufacturer of electronic data collection which input to computerized accounting systems. The company also produces self-service electronic transaction systems with magnetic stripe cards.","""electronic data collection"" ""electronic transaction"" ""magnetic stripe card"""
"MyBuys","Provider of cross-channel personalization for brands and retailers. The company offers web recommendations and personalized alerts. It builds profiles based on individual shopper\'s behavior and then uses a patented portfolio of algorithms and real-time optimization to deliver recommendations. It offers its recommendations to users through email and RSS alerts.","""predictive display advertising"" ""cross channel marketing"" ""personalized alert"" recommendation"
"eShare Technologies","Provider of real-time customer and interactive communication services for e-commerce and online communities. The company\'s technologies include web-based customer service and support, customer self-service, live conferencing and events, distance learning, community chat, threaded discussion forums and custom integration tools. It also supplies application software and services to businesses, consumers and community sites.","""Interactive Marketing"" ""live chat"" e-commerce"
"Agouron Pharmaceuticals","Developer of therapeutic products to treat cancer and AIDS. The company engages in the discovery, development and commercialization of drugs for treatment of cancer, viral diseases and diseases of the eye.","biomedical pharmacology immunogenetics"
"Aduva","Developer of software applications for maintaining Linux computer systems. The company\'s product, Aduva OnStage, is a life-cycle management application which is used to detect, analyze, and resolve any deviation, conflicts or drift from compliance. The application ensures security and system compliance in supporting the build, test, stage, deployment, and production stages.","""software application"" ""Linux computer systems"" ""system maintenance"" ""system compliance"""
"Sinclair Meadows","Provider of residential houses and apartments. The company has seventeen home-sites along with restaurants and shopping facilities.","""residential service"" ""housing development"" ""shopping facility"""
"Yepler","Creator of an online social desktop community. The company\'s platform enables users to organize files, links,videos, friends and groups by tagging and rating them locally and globally. The platform allows users to write comments or chat about any link or file on their computer. Through the platform, a document can instantly serve as a communication channel between two users.","""desktop software"" ""communication channel"" ""document tagging"""
"AccuDraft","Provider of business document automation services and online document production software. The company offers DocsEngine Portal, a contract lifecycle management system that transforms contracts into a set of business rules and publishes them to an online portal where various authorized users can create contracts by answering a series of questions.","""document automation"" ""document production"" ""contract lifecycle management"" ""pension document"""
"Smart Button Associates","Provider of a web-based marketing platform. The company engages in rewarding and retaining their customers and patrons as well as manages successful loyalty or rewards programs.","""marketing platform"" ""reward programs"" loyalty"
"Connectiva Systems","Developer of revenue management software products. The company provides revenue and risk management software that allows telecom operators to get more performance and productivity from their existing infrastructure.","""credit risk"" ""fraud management"" ""revenue assurance"""
"Advanced DX","Provider of testing equipment and personnel for diagnosis of clinical conditions including diabetic retinopathy, neuropathies and peripheral vascular disease. The company gives primary care physicians the ability to diagnose these conditions so they can keep patients in house and generate revenue from diagnostic procedures.","""testing equipment"" ""testing personnel"" ""primary care"""
"Provost Systems","Provider of administrative and academic solutions for charter schools. The company provides web-services like Provost Academy, Provost Virtual Student, Provost Marks, Provost Pulse and Provost Grade XL to high schools and post- secondary institutes.","""education software"" ""academic solutions"""
"LiveTime Software","Developer of IT service management software. The company provides a platform one of reactive incident response to a more holistic approach involving the entire business, its processes and workflows.","""IT service management"" ""business processes"" ""business processes"""
"Regiohelden","Provider of online marketing services. The company helps local advertisers with search engine marketing software to reach their online audience, convert prospects to actual clients and measure the results of campaigns.","""local online advertising"" ""marketing and advertising"" ""local advertising"""
"Adify","Provider of the technology and back office services necessary for companies to run their own online ad networks. The company offers Adify Network Builder, an integrated technology platform that enables enterprises and entrepreneurs to build and commercialize vertical networks.","""online ad"" ""network builder"" ""vertical network"""
"Dapper","Provider of an advertising technology platform for creating dynamic display advertisements. The company provides a platform built on machine learning, intent exploration, sophisticated matching algorithms and real-time automated optimization which delivers dynamically assembled, intent-driven display ads that drive increased relevance and performance.","""advertising technology platform"" ""display adverts"" ""display advertising"" ""advertisement platform"" ""web applications"" ""semantic web"""
"Fotolog","Operator of a social networking site. The company’s site enables members to express themselves through online photo diaries or photo blogs.","""social networking site"" ""online photo diaries"" ""photo blog"""
"Comarch","Provider of IT products for operational and business processes. The company provides CRM and business intelligence software to small and medium-sized enterprises sector.","""banking and insurance"" ""solutions and services"" profitability"
"NowMedia","Provider of an online platform for live video streaming of events. The company engages in developing an integrated broadcast media network in order to build location-centric mobile communities with live interactive content.","""online platform"" ""live video streaming"" ""broadcast media network"" ""3G phones"" ""mobile communities"" ""live interactive content"""
"Fiomi Diagnostics","Manufacturer and marketer of diagnostic test kits. The company also develops a panel of point-of-care cardiac marker assays.","""diagnostic substance"" ""Invitro diagnostic substance"" ""diagnostic testing"" ""cardiac marker assays"""
"Telemic","Provider of wireless based remote sensing technologies for lighting and other applications. The company offers remote monitoring and control systems for street lights.","""remote sensing"" ""remote monitoring"" ""street light"" ""power conservations"""
"Masimo","Manufacturer of innovative noninvasive patient monitoring technologies. The company offers noninvasive blood constituent patient monitoring services that consists of a monitor or circuit board and its proprietary single-patient use and reusable sensors and cables.","""patient monitoring"" ""healthcare services"" ""medical device"""
"Empowered Careers","Provider of online education services. The company has partnered with the University of California, Los Angeles extension program to offer courses specifically for professionals going back to school for professional development or a new career. It offers counseling in career guidance, online courses and assistance with the job search process.","""education service"" ""online education"" ""training service"" ""career change"""
"ishoni Networks","Developer of broadband communication gateway technology. The company develops highly integrated Broadband Gateway Engines for OEMs to provide easy voice and Internet service over a single broadband connection to residential and small business customers. Its platform enhance technologies such as xDSL, cable modems, voice over IP, home networking over phone lines (using HomePNA specifications) and wireless technologies, to provide shared Internet access throughout the small business or home.","""broadband communication"" ""broadband technology"" ""broadband gateway"" ""gateway engine"" ""broadband connection"" ""cable modem"" ""home networking"" ""wireless technology"""
"Gazoontite","Provider of household products. The company provides products that help reduce asthma problems, allergies and respiratory problems. The company\'s products include anti-allergen and hypoallergenic bedding, air purifiers, vacuum cleaners, bath and beauty products, toys, dust control products, odor control products and asthma management products.","""household products"" hypoallergenic ""cleaning product"""
"Ultranat","Provider of technologies for the treatment of power plant waste ash. The company\'s technology enables ash from biomass fuel power plants to be processed into valuable  end-of-waste products, like fertilizers and animal feed.","""Waste treatment"" ""processing ash"" ""biomass fuel power plants"""
"TestSource","Provider of behavioral-based, pre-employment assessments for the healthcare industry. The company offers healthcare selection inventory services, a behavioral-based pre-employment assessment service designed to identify top performers for job families, such as nursing, patient care, entry-level service, administrative/clerical and technical/professionals.","""pre employment assessment"" ""inventory service"" ""clerical service"" ""technical service"""
"LeftHand Networks","Provider of flexible IP-SAN network storage solutions. The company also offers evaluation software, such as SAN/iQ software and virtual SAN appliance, which aggregate disparate resources into a single, larger storage system. It offers iSCSI SANs that are composed of multiple storage nodes, pooled together into a single storage system; integrated storage systems; and virtual storage systems.","""storage solution"" ""san application"" ""virtual application"" ""storage system"" ""storage node"" ""virtual storage system"""
"01 Communique Laboratory","Developer and provider of communication software and services. The company develops and markets remote access software which provide users the ability to conduct online meetings and access and remotely control their personal computers using a device connected to the Internet.","""remote control"" ""remote communication software"" ""remote access"""
"Five Guys Restaurants (8 sites )","Portfolio of 8 restaurants. The restaurants are located across central California including Elk Grove, Fresno, Lodi, Natomas, Roseville, Stockton, Tracy and West Sacramento.","burger ""junk food"" ""restaurant service"""
"Paypal","Provider of a digital wallet and online payment services for individuals and businesses. The company offers various ways to pay and ways to get paid, including mobile express checkout service for retailers. Its service allows users to pay in various ways, such as through credit cards, bank accounts, and buyer credit or account balances.","""online payment"" ""money transfer"" SaaS ""payment solution"" ""Internet payments"" ""Internet commerce"""
"Circle of Moms","Provider of a community website platform for mothers. The company enables mothers to connect with friends, talk about their kids and join topical communities.","""social networking"" ""parenting site"" ""motherhood community"""
"Sound Surgical Technologies","Manufacturer and seller of surgical and non-invasive body shaping products utilizing ultrasound technology. The company manufactures VASER Lipo system which uses ultrasound waves to selectively emulsify fatty tissue prior to extraction from the body.","""body shaping product"" ""surgical product"" ""ultrasound body trimmer"""
"Encounter Development Technologies","Provider of end-to-end technology and online marketing services, including design, build, hosting and online marketing support. The company utilizes their pre-built applications to provide the platforms in which to base solutions for businesses looking to utilize video technology to increase online collaboration and interaction.","""online marketing"" collaboration ""video technology"""
"Aptara","Provider of digital publishing software. The company offers PowerXEditor, an online authoring tool that focuses on content sharing and management, publishing, and digital rights management.","""publishing services"" ""Digital publishing"" ""Digital content production"""
"Reconda International","Developer of web services extender applications. The company developed QN-AppWatch, a Web-based WebSphere MQ administration product designed primarily to enhance WebSphere MQ application development, and QN-StatWatch, a Web-based WebSphere MQ business transaction management product that provides significant audit features through an historical repository.","""web services"" ""administration product"" ""business transaction management"""
"Quality Care Solutions","Developer of platform software products for the healthcare industry. The company provides healthcare claims administration platforms and consumer-directed health and claims platforms with integrated medical management functions for healthcare payers.","""healthcare claim"" ""medical bill"" ""healthcare organization"""
"Decuma","Developer of handwriting recognition software for wireless devices such as mobile phones, PDAs and digital pens. The company\'s products are compatible with the palm operating system, windows CE and the Symbian operating system.","""wireless devices"" ""handwriting recognition"" ""operating system"""
"Zip2","Operator of a mobile media company which creates applications that enable business partners to engage and interact with their target audiences via mobile devices. The company operates Zumobi Network, a portfolio of interconnected mobile media applications, which enable user discovery of applications and content, network cross-promotion, and viral distribution, as well as provide reporting metrics on usage and behavior.","""mobile media"" ""interconnected mobile media"" ""media application"""
"Cellular-Blowout","Provider of wireless products and services. The company provides cell phones, PDA, mobile software, phone activations, accessories and novelty items.","""cell phones"" ""mobile accessories"" ""novelty items"" ""wireless products"""
"Fredio","Developer of a video broadcasting application. The company offers internet video content accessible on internet connected consumer electronics devices such as internet connected TVs, Blu-Ray players and game consoles.","""video broadcasting"" ""Blu-Ray"" ""game consoles"""
"Allerez","Provider of web-based information, real-time and disparate data sources. The company integrates disparate data sources in real-time, providing user-centric reporting and analytics.","""web based information"" ""real time data"" ""disparate data source"" ""centric reporting"" ""reporting analytic"""
"Encampment Minerals","Explorer of natural resources. The company is engaged in the exploration of copper, nickel, and platinum in northern Minnesota.","Exploring""natural resources"" ""metal copper"""
"OSspray","Developer of dental products.  The company develops products that utilize air polishing technologies for the cleaning, desensitizing and whitening of teeth in the dental industry.","dental ""dentistry"" ""air polishing"""
"No Wires Needed","Developer of wireless technologies. The company manufactures wireless products designed to enable high-speed wireless Internet access.","""wireless LAN"" ""wireless products"" ""media access control"" MAC ""wireless internet"""
"Open Monoclonal Technology","Developer of human monoclonal antibody platforms. The company develops human therapeutic antibodies based on transgenic rats for pharmaceutical companies.","""human monoclonal"" ""antibody platform"" ""transgenic rat"""
"Microposite","Manufacturer of siding for buildings. The company offers siding and outside seal products and boards for the building industry. The company sells its products through dealers, building material suppliers and building product distributors","""sealing products"" ""building materials"" ""construction materials"""
"Eridon","Provider of a complete platform for embedded system design. The company offers embedded system technology on modular self-integrating uCards to assemble a working hardware platform, operating systems, drivers and development tools.","""embedded system design"" ""operating system"" ""computer peripherals"""
"Evotec International","Manufacturer of biopharmaceutical products. The company develops therapies for metabolic disorders based on model organisms and stem cell expertise.","biomarker ""metabolic disorders"" ""biopharmaceuticals services"""
"Oxford BioMedica","Developer of gene-based medicines and therapeutic vaccines. The company\'s technology platform includes a gene delivery system for the treatment of the diseases of the central nervous system and the eye and a tumor antigen for anti-cancer therapy.","""gene-based medicines"" ""therapeutic vaccines"" ""gene delivery system"" ""tumor antigen"" ""anti-cancer therapy"""
"CreativeHub","Designer and Developer of websites and Builder of mobile and social media applications for entrepreneurial companies. The company works with businesses in a variety of industries, including advertising, technology, entertainment, financial services, communications, media, consumer products, real estate, apparel and retail.","""Marketing and Advertising"" communication entrepreneurial"
"Maptuit","Provider of navigation solutions to the transportation industry in the United States. The company specializes in providing location information Web services for consumer, tracking, and traffic markets.","""navigation solution"" ""location information"" ""transportation optimization solution"" ""geofencing technology"" ""direction application"" ""online traffic application"""
"OKWave","Operator of a question-answering website. The company provides a platform for users to solve their queries and discuss about their problems.","""Q&A community"" ""Q&A forum"" ""discuss answers"" queries"
"Echoecho Media","Developer of a location-based mobile application for finding friends. The company offers an open API, cross-platform, carrier agnostic location sharing system which helsp users in searching for friends and suggesting meeting places.","""application developer"" ""friend tracking"" ""social content"""
"Bright View Technologies","Developer of microstructure-based optical films. The company offers LCD backlight films; light management film product line for solid state lighting; contrast enhancing products for PDP and OLED applications; and GIGASCREEN product line for front and rear projection applications.","""optical film"" ""microstructure-based optical film"" ""LCD backlight film"" ""light management film"" ""solid state lighting"""
